stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount,plotStatus
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,0,,NONE,100000,1,100000,100000,20000000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,0,true,true,0,3.8413112583039631e-05,2026072607,4017947825915577414,6142472192736942299,6142472192736942299,MAXIMUM_FRAMES,1.0062968000000001,e3c52da59ef63d04,0c676aafaea3bec0,0c676aafaea3bec0,true,100000,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,1,,NONE,100000,285,100000,100000,20000000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,284,true,true,0,3.8413112583039631e-05,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,MAXIMUM_FRAMES,1.0542921999999999,37c29e4279c04446,0c676aafaea3bec0,0c676aafaea3bec0,true,100000,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,2,,NONE,8589,284,8589,8589,1717800,17602,7782,0.010246827337291885,0.90604261264407959,0.093957387355920366,1,0,0.90604261264407959,0,1.059611130515776,1.940388869484224,0.05961113051577599,0.11922226103155198,0.94038886948422395,0,283,false,false,0.89968935312664156,0.91203282671644714,2026072607,4017947825915577414,5640354087230502487,5640354087230502487,PAIRED_TARGET_FRAME_ERRORS,0.086156650000000001,58f579949d6218a6,0c676aafaea3bec0,0c676aafaea3bec0,true,8589,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,3,,NONE,5000,283,5000,5000,1000000,13343,4845,0.013343000000000001,0.96899999999999997,0.031,1,0,0.96899999999999997,0,1.1288,2.8712,0,0.1288,1,0,282,false,false,0.96382428206815018,0.97345561350738619,2026072607,4017947825915577414,16030843550405113190,16030843550405113190,PAIRED_TARGET_FRAME_ERRORS,0.050834249999999997,ed64c16fcab996a8,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,4,,NONE,5000,282,5000,5000,1000000,17237,4865,0.017236999999999999,0.97299999999999998,0.027,1,0,0.97299999999999998,0,1.1966000000000001,3.7338,0,0.127,1.0696000000000001,0,281,false,false,0.96813130752360865,0.97714244643636738,2026072607,4017947825915577414,1735388984397293476,1735388984397293476,PAIRED_TARGET_FRAME_ERRORS,0.049689900000000002,ba81f6913420ec54,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,5,,NONE,5000,281,5000,5000,1000000,21553,4873,0.021552999999999999,0.97460000000000002,0.025399999999999999,1,0,0.97460000000000002,0,1.2556,4.6166,0,0.1278,1.1277999999999999,0,280,false,false,0.96986105259337319,0.97861024472037872,2026072607,4017947825915577414,11725738326003446633,11725738326003446633,PAIRED_TARGET_FRAME_ERRORS,0.048192600000000002,51b485d5500cf03a,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,6,,NONE,5000,280,5000,5000,1000000,24649,4896,0.024649000000000001,0.97919999999999996,0.020799999999999999,1,0,0.97919999999999996,0,1.3124,5.4451999999999998,0,0.12720000000000001,1.1852,0,279,false,false,0.97486079507760315,0.9828034393782541,2026072607,4017947825915577414,3413198687404197003,3413198687404197003,PAIRED_TARGET_FRAME_ERRORS,0.052045250000000001,ea5c14027b1f3499,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,7,,NONE,5000,279,5000,5000,1000000,23689,4879,0.023689000000000002,0.9758,0.024199999999999999,1,0,0.9758,0,1.3926000000000001,6.2127999999999997,0,0.1278,1.2647999999999999,0,278,false,false,0.97116129622111347,0.97970815860797023,2026072607,4017947825915577414,578442061327463775,578442061327463775,PAIRED_TARGET_FRAME_ERRORS,0.051656849999999997,a4fc32eba59cd09a,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,8,,NONE,5000,278,5000,5000,1000000,30965,4929,0.030964999999999999,0.98580000000000001,0.014200000000000001,1,0,0.98580000000000001,0,1.4525999999999999,6.9733999999999998,0,0.13159999999999999,1.321,0,275,false,false,0.98212770809587291,0.98872639269430962,2026072607,4017947825915577414,17252338351945625033,17252338351945625033,PAIRED_TARGET_FRAME_ERRORS,0.054201149999999997,05dfd8a088b81c31,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,9,,NONE,5000,277,5000,5000,1000000,31819,4918,0.031819,0.98360000000000003,0.016400000000000001,1,0,0.98360000000000003,0,1.5164,7.7092000000000001,0,0.1308,1.3855999999999999,0,276,false,false,0.97969014282918099,0.98676733584956,2026072607,4017947825915577414,7180172080264513663,7180172080264513663,PAIRED_TARGET_FRAME_ERRORS,0.052873400000000001,10fe5c5daea5c15a,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,PLOTTED
